측정일시,측정소 코드,측정항목,평균값,측정기 상태,국가 기준초과 구분,지자체 기준초과 구분
2022012922,106,9,16.0,0,0,0
2022070110,123,5,0.2,0,0,0
2022042702,119,9,14.0,0,0,0
2022033016,116,1,0.003,0,0,0
2022012311,119,3,0.029,0,0,0
2022102902,120,6,0.004,0,0,0
2022122621,104,5,1.0,0,0,0
2022021301,104,1,0.003,0,0,0
2022091211,125,5,0.3,0,0,0
2022011701,113,6,0.03,0,0,0
2022010715,115,9,39.0,0,1,1
2022110419,108,8,24.0,0,0,0
2022033104,117,9,28.0,0,0,0
2022053114,123,1,0.004,0,0,0
2022082503,103,1,0.003,0,0,0
2022080715,120,1,0.002,0,0,0
2022070912,102,5,0.4,0,0,0
2022071106,102,3,0.032,0,0,0
2022112903,110,5,0.5,0,0,0
2022120522,107,8,30.0,0,0,0
2022062220,125,8,31.0,0,0,0
2022050411,120,5,0.4,0,0,0
2022051417,113,8,28.0,0,0,0
2022030321,107,8,43.0,0,0,0
2022050703,112,6,0.04,0,0,0
2022080612,106,8,28.0,0,0,0
2022080915,107,9,10.0,0,0,0
2022110607,115,1,0.004,0,0,0
2022050710,117,8,26.0,0,0,0
2022082019,101,6,0.039,0,0,0
2022011911,109,5,0.6,0,0,0
2022062320,122,8,4.0,0,0,0
2022102104,121,8,40.0,0,0,0
2022101622,116,9,34.0,0,0,0
2022082312,107,9,3.0,0,0,0
2022042822,116,3,0.01,0,0,0
2022021122,114,6,0.005,0,0,0
2022111007,124,8,82.0,0,0,0
2022042203,121,3,0.011,0,0,0
2022013101,115,9,15.0,0,0,0
2022100903,110,5,0.2,0,0,0
2022092720,102,9,18.0,0,0,0
2022091612,115,9,14.0,0,0,0
2022020709,117,1,0.005,0,0,0
2022053104,102,1,0.003,0,0,0
2022070420,102,8,32.0,0,0,0
2022052314,123,5,0.5,0,0,0
2022012219,123,5,0.8,0,0,0
2022081620,122,5,0.4,0,0,0
2022052920,107,5,0.4,0,0,0
2022101909,118,6,0.017,0,0,0
2022032422,125,6,0.003,0,0,0
2022071915,113,5,0.2,0,0,0
2022081214,114,9,26.0,0,0,0
2022110305,103,8,29.0,0,0,0
